Team Name,Season,Week,Goal Type,Goal Description,Goal Target,Goal Actual,Goal Unit,
Team Kelly (name pending),1,5,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),1,5,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,5,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,5,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,5,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,5,Lifestyle,Read 60 minutes,7,5,Days,
Team Best Buds,1,5,Diet,Daily Veg&Fruit,7,6.5,Days,
Team Best Buds,1,5,Diet,Water 8x8 rule,56,52,Glasses,
Team Best Buds,1,5,Exercise,Sleeping ,56,57.5,Hours,
Team Best Buds,1,5,Exercise,"Yoga, St. Tr., & P.T.",630,480,Minutes,
Team Best Buds,1,5,Lifestyle,Book Reading,210,80,Minutes,
Team Best Buds,1,5,Lifestyle,Practice/Drum,210,120,Minutes,
Team Fluffy Bunny,1,5,Diet,Fast until 1400,4,4,Days,
Team Fluffy Bunny,1,5,Diet,no eating after 2030,4,3,Days,
Team Fluffy Bunny,1,5,Exercise,Cardio,5,5,Days,
Team Fluffy Bunny,1,5,Exercise,Weight training,4,4,sessions,
Team Fluffy Bunny,1,5,Lifestyle,Bed by 2130 work days,3,3,Days,
