Team Name,Season,Week,Goal Type,Goal Description,Goal Target,Goal Actual,Goal Unit,
Team Best Buds,1,19,Diet,Daily Veg&Fruit,7,5.5,Days,
Team Best Buds,1,19,Diet,Water 8x8 rule,56,45,Glasses,
Team Best Buds,1,19,Exercise,Sleeping ,56,50.5,Hours,
Team Best Buds,1,19,Exercise,"Yoga, St. Tr., & P.T.",630,270,Minutes,
Team Best Buds,1,19,Lifestyle,Book Reading,210,0,Minutes,
Team Best Buds,1,19,Lifestyle,Study,210,45,Minutes,
Team DWAFAWAT,1,19,Diet,Goop,7,1,Days,
Team DWAFAWAT,1,19,Diet,Calorie Intake,2395.142857,2300,Calories,
Team DWAFAWAT,1,19,Exercise,Hockey + Weights,350,335,Days,
Team DWAFAWAT,1,19,Exercise,Stretch,400,526,Minutes,
Team DWAFAWAT,1,19,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,19,Lifestyle,Meditate,105,145,Minutes,
Team Kelly (name pending),1,20,Diet,Non-meat meals,12,12,Meals,
Team Kelly (name pending),1,20,Diet,No Booze,5,4,Days,
Team Kelly (name pending),1,20,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,20,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,20,Lifestyle,Artistic/creative output,3,1,Days,
Team Kelly (name pending),1,20,Lifestyle,Read 60 minutes,7,5,Days,
Team SMASH FASCISM,1,20,Diet,1 gluten free meal,4,7,Days,
Team SMASH FASCISM,1,20,Diet,No booze,4,3,Days,
Team SMASH FASCISM,1,20,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,20,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,20,Lifestyle,Meditate before bed,5,3,Days,
Team SMASH FASCISM,1,20,Lifestyle,Read,120,100,Minutes,
Team Fluffy Bunny,1,20,Diet,Fasting diet,5,6,Days,
Team Fluffy Bunny,1,20,Diet,Vegitarian Meal,3,1,Meals,
Team Fluffy Bunny,1,20,Exercise,Weight lifting session,4,4,sessions,
Team Fluffy Bunny,1,20,Exercise,Cardio session,5,5,sessions,
Team Fluffy Bunny,1,20,Lifestyle,Write ,3,1,Days,
Team Fluffy Bunny,1,20,Lifestyle,complete to do items,6,6,items,
Team Best Buds,1,20,Diet,Daily Veg&Fruit,7,5.5,Days,
Team Best Buds,1,20,Diet,Water 8x8 rule,56,48,Glasses,
Team Best Buds,1,20,Exercise,Sleeping ,56,54.5,Hours,
Team Best Buds,1,20,Exercise,"Yoga, St. Tr., & P.T.",630,270,Minutes,
Team Best Buds,1,20,Lifestyle,Book Reading,210,0,Minutes,
Team Best Buds,1,20,Lifestyle,Study,210,150,Minutes,
Team DWAFAWAT,1,20,Diet,Goop,7,3,Days,
Team DWAFAWAT,1,20,Diet,Calorie Intake,1833.428571,2300,Calories,Had to reverse the actual/target for math purposes
Team DWAFAWAT,1,20,Exercise,Hockey + Weights,350,124,Days,
Team DWAFAWAT,1,20,Exercise,Stretch,400,190,Minutes,
Team DWAFAWAT,1,20,Lifestyle,Journal,14,11,Times,
Team DWAFAWAT,1,20,Lifestyle,Meditate,105,75,Minutes,
Team Kelly (name pending),1,21,Diet,Non-meat meals,12,12,Meals,
Team Kelly (name pending),1,21,Diet,No Booze,5,3,Days,
Team Kelly (name pending),1,21,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,21,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,21,Lifestyle,Medidate ,3,2,Days,
Team Kelly (name pending),1,21,Lifestyle,Read 60 minutes,7,5,Days,
Team SMASH FASCISM,1,21,Diet,1 gluten free meal,4,6,Days,
Team SMASH FASCISM,1,21,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,21,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,21,Exercise,Bike ride,60,70,Minutes,
Team SMASH FASCISM,1,21,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,21,Lifestyle,Read,120,120,Minutes,
Team Fluffy Bunny,1,21,Diet,Fasting diet,5,7,Days,
Team Fluffy Bunny,1,21,Diet,Vegitarian Meal,3,3,Meals,
Team Fluffy Bunny,1,21,Exercise,Weight lifting session,4,5,sessions,
Team Fluffy Bunny,1,21,Exercise,Cardio session,5,6,sessions,
Team Fluffy Bunny,1,21,Lifestyle,Write ,3,1,Days,
Team Fluffy Bunny,1,21,Lifestyle,complete to do items,6,6,items,
Team Best Buds,1,21,Diet,Daily Veg&Fruit,7,7,Days,
Team Best Buds,1,21,Diet,Water 8x8 rule,56,52,Glasses,
Team Best Buds,1,21,Exercise,Sleeping ,56,56,Hours,
Team Best Buds,1,21,Exercise,"Yoga, St. Tr., & P.T.",630,210,Minutes,
Team Best Buds,1,21,Lifestyle,Book Reading,210,0,Minutes,
Team Best Buds,1,21,Lifestyle,Study,210,0,Minutes,
Team DWAFAWAT,1,21,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,21,Diet,Calorie Intake,1798.285714,2300,Calories,Had to reverse the actual/target for math purposes
Team DWAFAWAT,1,21,Exercise,Cardio,350,305,Days,
Team DWAFAWAT,1,21,Exercise,Stretch,400,437,Minutes,
Team DWAFAWAT,1,21,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,21,Lifestyle,Meditate,105,93,Minutes,
Team DWAFAWAT,2,1,Diet,Goop,7,4,Days,
Team DWAFAWAT,2,1,Diet,Calorie Intake,2072.857143,2200,Calories,
Team DWAFAWAT,2,1,Exercise,Cardio,350,235,Days,
Team DWAFAWAT,2,1,Exercise,Stretch,400,250,Minutes,
Team DWAFAWAT,2,1,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,2,1,Lifestyle,Meditate,105,120,Minutes,
Team Kelly (name pending),2,1,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),2,1,Diet,No Booze,5,4,Days,
Team Kelly (name pending),2,1,Exercise,Ride stationary bike,135,110,Minutes,
Team Kelly (name pending),2,1,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),2,1,Lifestyle,Medidate ,3,2,Days,
Team Kelly (name pending),2,1,Lifestyle,Read 60 minutes,7,5,Days,
Team SMASH FASCISM,2,1,Diet,1 gluten free meal,4,6,Days,
Team SMASH FASCISM,2,1,Diet,No booze,4,3,Days,
Team SMASH FASCISM,2,1,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,2,1,Exercise,Bike ride,60,40,Minutes,
Team SMASH FASCISM,2,1,Lifestyle,Meditate before bed,5,3,Days,
Team SMASH FASCISM,2,1,Lifestyle,Read,120,70,Minutes,
Team Harold Sample,2,1,Exercise,Play Hockey,3,4,Days,
Team Harold Sample,2,1,Exercise,Weight Lift (upper / core / stretch),3,2,Days,
Team Harold Sample,2,1,Diet,No Chips / Candy / Soda,7,4,Days,
Team Harold Sample,2,1,Diet,No Booze,7,5,Days,
Team Harold Sample,2,1,Lifestyle,Hit on a lady,1,1,Days,
Team Harold Sample,2,1,Lifestyle,Work on code outside of work,120,240,Minutes,
Team Love Me Desserts ,2,1,Exercise,Walk Dogs ,4,2,Days,
Team Love Me Desserts ,2,1,Exercise,10 min warmups,6,6,Days,
Team Love Me Desserts ,2,1,Diet,No Desert,4,4,Days,
Team Love Me Desserts ,2,1,Diet,Eat Veggies with two meals,5,5,Days,
Team Love Me Desserts ,2,1,Lifestyle,Stretch ,5,5,Days,
Team Love Me Desserts ,2,1,Lifestyle,Read for 30 min,3,2,Days,
Team Fluffy Bunny,2,1,Diet,Pescetarian/ vegitarian ,5,5,Meals,
Team Fluffy Bunny,2,1,Diet,Meal prep lunch,3,2,Meals,
Team Fluffy Bunny,2,1,Exercise,Weight lifting session,4,4,sessions,
Team Fluffy Bunny,2,1,Exercise,Cardio session,5,4,sessions,
Team Fluffy Bunny,2,1,Lifestyle,Time for me,90,30,minutes,
Team Fluffy Bunny,2,1,Lifestyle,complete to do items,5,2,items,
Team Fluffy Bunny,2,2,Diet,5 small meals through the day,5,5,days,
Team Fluffy Bunny,2,2,Diet,Meal prep lunch,3,3,Meals,
Team Fluffy Bunny,2,2,Exercise,Weight lifting session,4,5,sessions,
Team Fluffy Bunny,2,2,Exercise,Cardio session,5,7,sessions,
Team Fluffy Bunny,2,2,Lifestyle,Time for me,90,90,minutes,
Team Fluffy Bunny,2,2,Lifestyle,complete to do items,5,6,items,
Team Kelly (name pending),2,2,Diet,Non-meat meals,12,8,Meals,
Team Kelly (name pending),2,2,Diet,No Booze,5,4,Days,
Team Kelly (name pending),2,2,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),2,2,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),2,2,Lifestyle,Medidate ,3,2,Days,
